state,name,wban,stn,c,rain,lat,long
MA,NANTUCKET ISLAND,99999,994046,346,0,41283.0,-70100.0
MA,WAQUIOT BAY RESERVE,99999,998014,235,0,41583.0,-70517.0
MA,PLYMOUTH MUNICIPAL,54769,725064,365,39,41910.0,-70729.0
MA,NORWOOD MEM,54704,725098,365,27,42191.0,-71174.0
MA,PITTSFIELD MUNI,14763,744104,365,42,42427.0,-73289.0
MA,LAURENCE G HANSCOM,14702,725059,365,31,42470.0,-71289.0
MA,MARTHAS VINEYARD,94724,725066,362,38,41393.0,-70615.0
MA,TAUNTON MUNI,54777,725068,365,42,41876.0,-71021.0
MA,PROVINCETOWN MUNI,64708,725073,354,73,42072.0,-70221.0
MA,ORANGE MUNI,54756,725085,364,40,42570.0,-72291.0
MA,BEVERLY MUNI,54733,725088,364,33,42584.0,-70918.0
MA,LAWRENCE MUNI,94723,744904,365,26,42717.0,-71124.0
MA,BARNES MUNI,14775,744915,365,38,42158.0,-72716.0
MA,WOODS HOLE,99999,997274,352,0,41517.0,-70667.0
MA,FALL RIVER,99999,997279,358,0,41700.0,-71000.0
MA,NEW BEDFORD RGNL,94726,725065,365,43,41676.0,-70958.0
MA,CHATHAM MUNI,94624,725069,365,44,41688.0,-69993.0
MA,WORCESTER RGNL,94746,725100,364,41,42271.0,-71873.0
MA,EAST MILTON,14753,744907,360,44,42212.0,-71114.0
MA,MARSHFIELD MUNI G HA,64774,722256,354,0,42098.0,-70672.0
MA,BOSTON,99999,994971,357,0,42350.0,-71050.0
MA,BORDEN FLATS LIGHT,99999,997273,359,0,41700.0,-71167.0
MA,BUOY 44020 / NANTUC,99999,998321,340,0,41450.0,-70183.0
MA,BARNSTABLE MUNI BOA,94720,725067,365,44,41669.0,-70280.0
MA,HARRIMAN AND WEST,54768,725075,365,34,42696.0,-73171.0
MA,BOSTON/LOGAN INTL,14739,725090,365,38,42361.0,-71011.0
MA,CHICOPEE FALLS/WEST,14703,744910,365,38,42200.0,-72533.0
